index,County,Precinct,Registered Voters,Elisa Gillis (I) (Rep)_Election Day Votes,Elisa Gillis (I) (Rep)_Advanced Voting Votes,Elisa Gillis (I) (Rep)_Absentee by Mail Votes,Elisa Gillis (I) (Rep)_Provisional Votes,Elisa Gillis (I) (Rep)_Choice Total,Total,
0,Coffee,Douglas,17243,1412,5624,960,2,7998,7998,
1,Coffee,Ambrose,2053,389,679,111,1,1180,1180,
2,Coffee,Bridgetown,344,128,68,14,0,210,210,
3,Coffee,Broxton,2398,392,813,101,3,1309,1309,
4,Coffee,Nicholls,2115,398,543,99,3,1043,1043,
5,Coffee,West Green,961,305,239,48,0,592,592,
