index,County,Precinct,Registered Voters,"George Cathrall, Jr. (I)_Election Day Votes","George Cathrall, Jr. (I)_Advanced Voting Votes","George Cathrall, Jr. (I)_Absentee by Mail Votes","George Cathrall, Jr. (I)_Provisional Votes","George Cathrall, Jr. (I)_Choice Total",Total,
0,Quitman,Georgetown,1454,241,441,174,1,857,857,
1,Quitman,Morris,93,25,11,12,0,48,48,
