index,County,Precinct,Registered Voters,Bobby Garrett (Rep)_Election Day Votes,Bobby Garrett (Rep)_Advanced Voting Votes,Bobby Garrett (Rep)_Absentee by Mail Votes,Bobby Garrett (Rep)_Provisional Votes,Bobby Garrett (Rep)_Choice Total,Charles Davis (Dem)_Election Day Votes,Charles Davis (Dem)_Advanced Voting Votes,Charles Davis (Dem)_Absentee by Mail Votes,Charles Davis (Dem)_Provisional Votes,Charles Davis (Dem)_Choice Total,Total,
0,Quitman,Georgetown,1454,117,316,84,0,517,172,215,125,1,513,1030,
1,Quitman,Morris,93,16,7,5,0,28,18,6,10,0,34,62,
