index,County,Precinct,Registered Voters,Rebecca Findley (Ind)_Election Day Votes,Rebecca Findley (Ind)_Advanced Voting Votes,Rebecca Findley (Ind)_Absentee by Mail Votes,Rebecca Findley (Ind)_Provisional Votes,Rebecca Findley (Ind)_Choice Total,Total,
0,Quitman,Georgetown,1454,245,459,175,1,880,880,
1,Quitman,Morris,93,32,11,13,0,56,56,
