index,County,Precinct,Registered Voters,Renda Dunn Baggett (I) (Rep)_Election Day Votes,Renda Dunn Baggett (I) (Rep)_Advanced Voting Votes,Renda Dunn Baggett (I) (Rep)_Absentee by Mail Votes,Renda Dunn Baggett (I) (Rep)_Provisional Votes,Renda Dunn Baggett (I) (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,342,957,168,0,1467,1467,
1,Murray,Shuck Pen,2940,651,931,166,0,1748,1748,
2,Murray,Southwest,3215,677,821,212,0,1710,1710,
3,Murray,Spring Place,3671,541,1386,245,0,2172,2172,
4,Murray,Town,5766,691,2344,479,0,3514,3514,
5,Murray,Carters-Doolittle,2045,444,596,137,0,1177,1177,
6,Murray,North,2123,536,666,142,0,1344,1344,
