index,County,Precinct,Registered Voters,Jason T. Ridley (I) (Rep)_Election Day Votes,Jason T. Ridley (I) (Rep)_Advanced Voting Votes,Jason T. Ridley (I) (Rep)_Absentee by Mail Votes,Jason T. Ridley (I) (Rep)_Provisional Votes,Jason T. Ridley (I) (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,353,986,169,0,1508,1508,
1,Murray,Shuck Pen,2940,669,960,168,0,1797,1797,
2,Murray,Town,5766,266,904,149,0,1319,1319,
3,Murray,North,2123,561,684,150,0,1395,1395,
