index,County,Precinct,Registered Voters,Jimmy Davenport (Rep)_Election Day Votes,Jimmy Davenport (Rep)_Advanced Voting Votes,Jimmy Davenport (Rep)_Absentee by Mail Votes,Jimmy Davenport (Rep)_Provisional Votes,Jimmy Davenport (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,347,978,168,0,1493,1493,
1,Murray,Shuck Pen,2940,662,958,168,0,1788,1788,
2,Murray,Southwest,3215,695,839,214,0,1748,1748,
3,Murray,Spring Place,3671,552,1410,248,0,2210,2210,
4,Murray,Town,5766,704,2420,491,0,3615,3615,
5,Murray,Carters-Doolittle,2045,471,613,133,0,1217,1217,
6,Murray,North,2123,552,687,147,0,1386,1386,
