index,County,Precinct,Registered Voters,Chuck Payne (I) (Rep)_Election Day Votes,Chuck Payne (I) (Rep)_Advanced Voting Votes,Chuck Payne (I) (Rep)_Absentee by Mail Votes,Chuck Payne (I) (Rep)_Provisional Votes,Chuck Payne (I) (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,343,975,168,0,1486,1486,
1,Murray,Shuck Pen,2940,659,942,167,0,1768,1768,
2,Murray,Southwest,3215,687,851,213,0,1751,1751,
3,Murray,Spring Place,3671,552,1393,247,0,2192,2192,
4,Murray,Town,5766,698,2399,484,0,3581,3581,
5,Murray,Carters-Doolittle,2045,448,596,131,0,1175,1175,
6,Murray,North,2123,545,681,150,0,1376,1376,
