index,County,Precinct,Registered Voters,William L. Sparky Roberts (I) (Rep)_Election Day Votes,William L. Sparky Roberts (I) (Rep)_Advanced Voting Votes,William L. Sparky Roberts (I) (Rep)_Absentee by Mail Votes,William L. Sparky Roberts (I) (Rep)_Provisional Votes,William L. Sparky Roberts (I) (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,344,948,169,0,1461,1461,
1,Murray,Shuck Pen,2940,648,936,164,0,1748,1748,
2,Murray,Southwest,3215,682,815,214,0,1711,1711,
3,Murray,Spring Place,3671,538,1381,241,0,2160,2160,
4,Murray,Town,5766,684,2359,476,0,3519,3519,
5,Murray,Carters-Doolittle,2045,444,592,138,0,1174,1174,
6,Murray,North,2123,536,670,140,0,1346,1346,
