index,County,Precinct,Registered Voters,Greg Shoemaker (I) (Rep)_Election Day Votes,Greg Shoemaker (I) (Rep)_Advanced Voting Votes,Greg Shoemaker (I) (Rep)_Absentee by Mail Votes,Greg Shoemaker (I) (Rep)_Provisional Votes,Greg Shoemaker (I) (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,344,971,166,0,1481,1481,
1,Murray,Shuck Pen,2940,649,942,167,0,1758,1758,
2,Murray,Southwest,3215,686,822,207,0,1715,1715,
3,Murray,Spring Place,3671,540,1391,239,0,2170,2170,
4,Murray,Town,5766,695,2370,467,0,3532,3532,
5,Murray,Carters-Doolittle,2045,449,600,132,0,1181,1181,
6,Murray,North,2123,544,679,144,0,1367,1367,
