index,County,Precinct,Registered Voters,"James """"Jimmy"""" Petty (I)_Election Day Votes","James """"Jimmy"""" Petty (I)_Advanced Voting Votes","James """"Jimmy"""" Petty (I)_Absentee by Mail Votes","James """"Jimmy"""" Petty (I)_Provisional Votes","James """"Jimmy"""" Petty (I)_Choice Total",Total,
0,Murray,McDonald,2524,339,939,177,0,1455,1455,
1,Murray,Shuck Pen,2940,642,930,175,0,1747,1747,
2,Murray,Southwest,3215,651,777,216,0,1644,1644,
3,Murray,Spring Place,3671,528,1337,259,0,2124,2124,
4,Murray,Town,5766,678,2304,494,0,3476,3476,
5,Murray,Carters-Doolittle,2045,430,562,140,0,1132,1132,
6,Murray,North,2123,546,674,161,0,1381,1381,
