index,County,Precinct,Registered Voters,Billy R. Childers (I) (Rep)_Election Day Votes,Billy R. Childers (I) (Rep)_Advanced Voting Votes,Billy R. Childers (I) (Rep)_Absentee by Mail Votes,Billy R. Childers (I) (Rep)_Provisional Votes,Billy R. Childers (I) (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,349,999,171,0,1519,1519,
1,Murray,Shuck Pen,2940,661,969,171,0,1801,1801,
2,Murray,Southwest,3215,703,857,221,0,1781,1781,
3,Murray,Spring Place,3671,552,1426,254,0,2232,2232,
4,Murray,Town,5766,717,2446,507,0,3670,3670,
5,Murray,Carters-Doolittle,2045,461,611,143,0,1215,1215,
6,Murray,North,2123,547,692,152,0,1391,1391,
