index,County,Precinct,Registered Voters,Jason Gibson (I) (Rep)_Election Day Votes,Jason Gibson (I) (Rep)_Advanced Voting Votes,Jason Gibson (I) (Rep)_Absentee by Mail Votes,Jason Gibson (I) (Rep)_Provisional Votes,Jason Gibson (I) (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,351,973,171,0,1495,1495,
1,Murray,Shuck Pen,2940,657,959,170,0,1786,1786,
2,Murray,Southwest,3215,700,841,221,0,1762,1762,
3,Murray,Spring Place,3671,554,1404,251,0,2209,2209,
4,Murray,Town,5766,710,2390,481,0,3581,3581,
5,Murray,Carters-Doolittle,2045,458,609,137,0,1204,1204,
6,Murray,North,2123,550,686,147,0,1383,1383,
