index,County,Precinct,Registered Voters,Rick Jasperse (I) (Rep)_Election Day Votes,Rick Jasperse (I) (Rep)_Advanced Voting Votes,Rick Jasperse (I) (Rep)_Absentee by Mail Votes,Rick Jasperse (I) (Rep)_Provisional Votes,Rick Jasperse (I) (Rep)_Choice Total,Kayla Hollifield (Dem)_Election Day Votes,Kayla Hollifield (Dem)_Advanced Voting Votes,Kayla Hollifield (Dem)_Absentee by Mail Votes,Kayla Hollifield (Dem)_Provisional Votes,Kayla Hollifield (Dem)_Choice Total,Total,
0,Murray,Spring Place,3671,496,1294,196,0,1986,109,209,138,0,456,2442,
1,Murray,Town,5766,398,1376,296,0,2070,73,277,135,0,485,2555,
2,Murray,Carters-Doolittle,2045,441,574,128,0,1143,49,76,53,0,178,1321,
