index,County,Precinct,Registered Voters,Donna Flood (I) (Rep)_Election Day Votes,Donna Flood (I) (Rep)_Advanced Voting Votes,Donna Flood (I) (Rep)_Absentee by Mail Votes,Donna Flood (I) (Rep)_Provisional Votes,Donna Flood (I) (Rep)_Choice Total,Total,
0,Murray,McDonald,2524,357,991,176,0,1524,1524,
1,Murray,Shuck Pen,2940,668,977,171,0,1816,1816,
2,Murray,Southwest,3215,706,856,226,0,1788,1788,
3,Murray,Spring Place,3671,566,1440,258,0,2264,2264,
4,Murray,Town,5766,713,2468,502,0,3683,3683,
5,Murray,Carters-Doolittle,2045,469,624,140,0,1233,1233,
6,Murray,North,2123,554,692,148,0,1394,1394,
