index,County,Precinct,Registered Voters,Doug Maybin (I) (Rep)_Election Day Votes,Doug Maybin (I) (Rep)_Advanced Voting Votes,Doug Maybin (I) (Rep)_Absentee by Mail Votes,Doug Maybin (I) (Rep)_Provisional Votes,Doug Maybin (I) (Rep)_Choice Total,Total,
0,Montgomery,Ailey,431,85,179,49,0,313,313,
1,Montgomery,Alston,472,144,160,40,0,344,344,
2,Montgomery,Higgston,1340,297,477,114,0,888,888,
3,Montgomery,Kibbee,532,154,145,66,0,365,365,
4,Montgomery,Mount Vernon,1444,230,439,162,0,831,831,
5,Montgomery,Tarrytown,333,115,90,31,0,236,236,
6,Montgomery,Uvalda,911,225,229,79,0,533,533,
