index,County,Precinct,Registered Voters,Samuel C. Baker_Election Day Votes,Samuel C. Baker_Advanced Voting Votes,Samuel C. Baker_Absentee by Mail Votes,Samuel C. Baker_Provisional Votes,Samuel C. Baker_Choice Total,Total,
0,Montgomery,Ailey,431,76,157,42,0,275,275,
1,Montgomery,Alston,472,125,144,37,0,306,306,
2,Montgomery,Higgston,1340,276,449,118,0,843,843,
3,Montgomery,Kibbee,532,134,130,48,0,312,312,
4,Montgomery,Mount Vernon,1444,225,427,154,0,806,806,
5,Montgomery,Tarrytown,333,98,78,29,0,205,205,
6,Montgomery,Uvalda,911,213,200,86,0,499,499,
