index,County,Precinct,Registered Voters,Chad Kenney (I) (Rep)_Election Day Votes,Chad Kenney (I) (Rep)_Advanced Voting Votes,Chad Kenney (I) (Rep)_Absentee by Mail Votes,Chad Kenney (I) (Rep)_Provisional Votes,Chad Kenney (I) (Rep)_Choice Total,Total,
0,Montgomery,Ailey,431,5,23,4,0,32,32,
1,Montgomery,Higgston,1340,94,123,26,0,243,243,
2,Montgomery,Kibbee,532,151,146,60,0,357,357,
3,Montgomery,Mount Vernon,1444,8,13,1,0,22,22,
4,Montgomery,Tarrytown,333,106,87,31,0,224,224,
