index,County,Precinct,Registered Voters,Ginger Morris (Rep)_Election Day Votes,Ginger Morris (Rep)_Advanced Voting Votes,Ginger Morris (Rep)_Absentee by Mail Votes,Ginger Morris (Rep)_Provisional Votes,Ginger Morris (Rep)_Choice Total,Thadeus Holloway (Dem)_Election Day Votes,Thadeus Holloway (Dem)_Advanced Voting Votes,Thadeus Holloway (Dem)_Absentee by Mail Votes,Thadeus Holloway (Dem)_Provisional Votes,Thadeus Holloway (Dem)_Choice Total,Total,
0,Montgomery,Ailey,431,59,110,17,0,186,24,51,31,0,106,292,
1,Montgomery,Mount Vernon,1444,103,256,68,0,427,126,198,108,0,432,859,
