index,County,Precinct,Registered Voters,Tammy C. Foskey (I) (Rep)_Election Day Votes,Tammy C. Foskey (I) (Rep)_Advanced Voting Votes,Tammy C. Foskey (I) (Rep)_Absentee by Mail Votes,Tammy C. Foskey (I) (Rep)_Provisional Votes,Tammy C. Foskey (I) (Rep)_Choice Total,Total,
0,Montgomery,Ailey,431,79,168,39,0,286,286,
1,Montgomery,Alston,472,143,161,35,0,339,339,
2,Montgomery,Higgston,1340,287,466,112,0,865,865,
3,Montgomery,Kibbee,532,157,149,65,0,371,371,
4,Montgomery,Mount Vernon,1444,217,411,141,0,769,769,
5,Montgomery,Tarrytown,333,110,90,30,0,230,230,
6,Montgomery,Uvalda,911,225,220,72,0,517,517,
