index,County,Precinct,Registered Voters,Rubie Nell Sanders (I) (Rep)_Election Day Votes,Rubie Nell Sanders (I) (Rep)_Advanced Voting Votes,Rubie Nell Sanders (I) (Rep)_Absentee by Mail Votes,Rubie Nell Sanders (I) (Rep)_Provisional Votes,Rubie Nell Sanders (I) (Rep)_Choice Total,Total,
0,Montgomery,Ailey,431,86,179,47,0,312,312,
1,Montgomery,Alston,472,145,162,42,0,349,349,
2,Montgomery,Higgston,1340,292,480,119,0,891,891,
3,Montgomery,Kibbee,532,157,148,73,0,378,378,
4,Montgomery,Mount Vernon,1444,236,443,165,0,844,844,
5,Montgomery,Tarrytown,333,113,91,32,0,236,236,
6,Montgomery,Uvalda,911,229,232,87,0,548,548,
