index,County,Precinct,Registered Voters,Laurie Holland (Rep)_Election Day Votes,Laurie Holland (Rep)_Advanced Voting Votes,Laurie Holland (Rep)_Absentee by Mail Votes,Laurie Holland (Rep)_Provisional Votes,Laurie Holland (Rep)_Choice Total,Andrea Margie Bell (Dem)_Election Day Votes,Andrea Margie Bell (Dem)_Advanced Voting Votes,Andrea Margie Bell (Dem)_Absentee by Mail Votes,Andrea Margie Bell (Dem)_Provisional Votes,Andrea Margie Bell (Dem)_Choice Total,Total,
0,Montgomery,Ailey,431,65,158,20,0,243,23,30,31,0,84,327,
1,Montgomery,Alston,472,136,145,32,0,313,9,26,13,0,48,361,
2,Montgomery,Higgston,1340,261,403,75,0,739,48,104,68,0,220,959,
3,Montgomery,Kibbee,532,162,148,59,0,369,6,9,14,0,29,398,
4,Montgomery,Mount Vernon,1444,145,314,71,0,530,112,178,105,0,395,925,
5,Montgomery,Tarrytown,333,111,91,33,0,235,10,4,4,0,18,253,
6,Montgomery,Uvalda,911,203,187,53,0,443,45,62,52,0,159,602,
