index,County,Precinct,Registered Voters,Tim Williamson (I) (Rep)_Election Day Votes,Tim Williamson (I) (Rep)_Advanced Voting Votes,Tim Williamson (I) (Rep)_Absentee by Mail Votes,Tim Williamson (I) (Rep)_Provisional Votes,Tim Williamson (I) (Rep)_Choice Total,Total,
0,Montgomery,Alston,472,131,149,34,0,314,314,
1,Montgomery,Higgston,1340,189,337,79,0,605,605,
