index,County,Precinct,Registered Voters,Loretta Lane (I) (Dem)_Election Day Votes,Loretta Lane (I) (Dem)_Advanced Voting Votes,Loretta Lane (I) (Dem)_Absentee by Mail Votes,Loretta Lane (I) (Dem)_Provisional Votes,Loretta Lane (I) (Dem)_Choice Total,Total,
0,Montgomery,Ailey,431,68,163,48,0,279,279,
1,Montgomery,Alston,472,119,144,37,0,300,300,
2,Montgomery,Higgston,1340,266,411,124,0,801,801,
3,Montgomery,Kibbee,532,126,117,61,0,304,304,
4,Montgomery,Mount Vernon,1444,228,439,161,0,828,828,
5,Montgomery,Tarrytown,333,99,73,32,0,204,204,
6,Montgomery,Uvalda,911,216,202,87,0,505,505,
