index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Montgomery,Ailey,431,66,155,22,0,243,22,35,31,0,88,331,
1,Montgomery,Alston,472,137,148,33,0,318,9,25,9,0,43,361,
2,Montgomery,Higgston,1340,268,421,81,0,770,42,92,65,0,199,969,
3,Montgomery,Kibbee,532,166,150,59,0,375,3,8,15,0,26,401,
4,Montgomery,Mount Vernon,1444,147,332,73,0,552,110,158,107,0,375,927,
5,Montgomery,Tarrytown,333,113,95,33,0,241,10,3,2,0,15,256,
6,Montgomery,Uvalda,911,199,190,54,0,443,47,54,52,0,153,596,
