index,County,Precinct,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
0,Montgomery,Ailey,431,75,172,38,0,285,285,
1,Montgomery,Alston,472,139,154,38,0,331,331,
2,Montgomery,Higgston,1340,284,459,107,0,850,850,
3,Montgomery,Kibbee,532,163,149,63,0,375,375,
4,Montgomery,Mount Vernon,1444,204,392,126,0,722,722,
5,Montgomery,Tarrytown,333,110,89,27,0,226,226,
6,Montgomery,Uvalda,911,218,207,66,0,491,491,
