index,County,Precinct,Registered Voters,Tyler Harper (I) (Rep)_Election Day Votes,Tyler Harper (I) (Rep)_Advanced Voting Votes,Tyler Harper (I) (Rep)_Absentee by Mail Votes,Tyler Harper (I) (Rep)_Provisional Votes,Tyler Harper (I) (Rep)_Choice Total,Total,
0,Pierce,Hacklebarney-Cason,3524,272,1507,282,0,2061,2061,
1,Pierce,Blackshear,3207,296,1472,264,0,2032,2032,
2,Pierce,St Johns-Blackshear,1611,140,829,142,0,1111,1111,
3,Pierce,Otter Creek,1397,198,629,119,0,946,946,
4,Pierce,Patterson,1311,214,541,91,0,846,846,
5,Pierce,Mershon,478,36,253,53,0,342,342,
6,Pierce,Alabaha,918,76,464,60,0,600,600,
7,Pierce,Sunset-Sweat,271,28,160,32,0,220,220,
