index,County,Precinct,Registered Voters,Stephen Duncan (I) (Rep)_Election Day Votes,Stephen Duncan (I) (Rep)_Advanced Voting Votes,Stephen Duncan (I) (Rep)_Absentee by Mail Votes,Stephen Duncan (I) (Rep)_Provisional Votes,Stephen Duncan (I) (Rep)_Choice Total,Total,
0,Pierce,Hacklebarney-Cason,3524,274,1510,281,0,2065,2065,
1,Pierce,Blackshear,3207,299,1474,260,0,2033,2033,
2,Pierce,St Johns-Blackshear,1611,142,830,147,0,1119,1119,
3,Pierce,Otter Creek,1397,199,629,117,0,945,945,
4,Pierce,Patterson,1311,209,549,94,0,852,852,
5,Pierce,Mershon,478,36,253,50,0,339,339,
6,Pierce,Alabaha,918,76,468,60,0,604,604,
7,Pierce,Sunset-Sweat,271,27,158,30,0,215,215,
