index,County,Precinct,Registered Voters,Terresa Davis (I) (Rep)_Election Day Votes,Terresa Davis (I) (Rep)_Advanced Voting Votes,Terresa Davis (I) (Rep)_Absentee by Mail Votes,Terresa Davis (I) (Rep)_Provisional Votes,Terresa Davis (I) (Rep)_Choice Total,Total,
0,Pierce,Hacklebarney-Cason,3524,275,1530,291,0,2096,2096,
1,Pierce,Blackshear,3207,301,1492,268,0,2061,2061,
2,Pierce,St Johns-Blackshear,1611,142,837,146,0,1125,1125,
3,Pierce,Otter Creek,1397,199,631,118,0,948,948,
4,Pierce,Patterson,1311,212,548,100,0,860,860,
5,Pierce,Mershon,478,35,254,52,0,341,341,
6,Pierce,Alabaha,918,75,472,61,0,608,608,
7,Pierce,Sunset-Sweat,271,27,159,31,0,217,217,
