index,County,Precinct,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
0,Pierce,Hacklebarney-Cason,3524,253,1406,228,0,1887,32,263,146,0,441,2328,
1,Pierce,Blackshear,3207,268,1419,242,0,1929,39,115,64,0,218,2147,
2,Pierce,St Johns-Blackshear,1611,134,814,141,0,1089,14,48,28,0,90,1179,
3,Pierce,Otter Creek,1397,190,616,111,0,917,9,41,25,0,75,992,
4,Pierce,Patterson,1311,204,516,80,0,800,16,72,34,0,122,922,
5,Pierce,Mershon,478,37,246,49,0,332,2,10,8,0,20,352,
6,Pierce,Alabaha,918,72,460,60,0,592,7,30,14,0,51,643,
7,Pierce,Sunset-Sweat,271,28,161,33,0,222,0,3,0,0,3,225,
