index,County,Precinct,Registered Voters,"William L. Wilson, Jr. (I) (Rep)_Election Day Votes","William L. Wilson, Jr. (I) (Rep)_Advanced Voting Votes","William L. Wilson, Jr. (I) (Rep)_Absentee by Mail Votes","William L. Wilson, Jr. (I) (Rep)_Provisional Votes","William L. Wilson, Jr. (I) (Rep)_Choice Total",Total,
0,Pierce,Hacklebarney-Cason,3524,275,1514,287,0,2076,2076,
1,Pierce,Blackshear,3207,297,1478,266,0,2041,2041,
2,Pierce,St Johns-Blackshear,1611,141,831,143,0,1115,1115,
3,Pierce,Otter Creek,1397,197,628,118,0,943,943,
4,Pierce,Patterson,1311,208,543,96,0,847,847,
5,Pierce,Mershon,478,36,250,49,0,335,335,
6,Pierce,Alabaha,918,76,467,61,0,604,604,
7,Pierce,Sunset-Sweat,271,27,158,31,0,216,216,
