index,County,Precinct,Registered Voters,Steven Meeks (I) (Rep)_Election Day Votes,Steven Meeks (I) (Rep)_Advanced Voting Votes,Steven Meeks (I) (Rep)_Absentee by Mail Votes,Steven Meeks (I) (Rep)_Provisional Votes,Steven Meeks (I) (Rep)_Choice Total,Total,
0,Pierce,Hacklebarney-Cason,3524,275,1505,279,0,2059,2059,
1,Pierce,Blackshear,3207,301,1477,264,0,2042,2042,
2,Pierce,St Johns-Blackshear,1611,143,833,144,0,1120,1120,
3,Pierce,Otter Creek,1397,197,634,117,0,948,948,
4,Pierce,Patterson,1311,216,545,93,0,854,854,
5,Pierce,Mershon,478,37,253,51,0,341,341,
6,Pierce,Alabaha,918,74,466,58,0,598,598,
7,Pierce,Sunset-Sweat,271,27,160,32,0,219,219,
