index,County,Precinct,Registered Voters,Ramsey Bennett (I) (Rep)_Election Day Votes,Ramsey Bennett (I) (Rep)_Advanced Voting Votes,Ramsey Bennett (I) (Rep)_Absentee by Mail Votes,Ramsey Bennett (I) (Rep)_Provisional Votes,Ramsey Bennett (I) (Rep)_Choice Total,Total,
0,Pierce,Hacklebarney-Cason,3524,253,1488,279,0,2020,2020,
1,Pierce,Blackshear,3207,281,1390,253,0,1924,1924,
2,Pierce,St Johns-Blackshear,1611,127,777,138,0,1042,1042,
3,Pierce,Otter Creek,1397,182,588,117,0,887,887,
4,Pierce,Patterson,1311,195,516,94,0,805,805,
5,Pierce,Mershon,478,30,240,49,0,319,319,
6,Pierce,Alabaha,918,70,442,61,0,573,573,
7,Pierce,Sunset-Sweat,271,23,151,33,0,207,207,
