index,County,Precinct,Registered Voters,Jason Henson (I) (Rep)_Election Day Votes,Jason Henson (I) (Rep)_Advanced Voting Votes,Jason Henson (I) (Rep)_Absentee by Mail Votes,Jason Henson (I) (Rep)_Provisional Votes,Jason Henson (I) (Rep)_Choice Total,Total,
0,Union,Blairsville,2435,268,1000,392,3,1663,1663,
1,Union,Coosa,2294,389,998,293,0,1680,1680,
2,Union,Choestoe,1377,278,539,185,1,1003,1003,
3,Union,Jones Creek,1945,397,766,295,2,1460,1460,
4,Union,Owltown,1517,246,595,224,0,1065,1065,
5,Union,Ivy Log,2008,372,816,330,0,1518,1518,
6,Union,Suches,611,236,88,72,0,396,396,
7,Union,Trackrock,1110,202,428,159,0,789,789,
8,Union,Dooley,1531,350,520,214,2,1086,1086,
9,Union,Gumlog,2143,380,843,323,1,1547,1547,
10,Union,Pat Colwell,2230,328,997,334,2,1661,1661,
