index,County,Precinct,Registered Voters,Lamar Paris (I) (Dem)_Election Day Votes,Lamar Paris (I) (Dem)_Advanced Voting Votes,Lamar Paris (I) (Dem)_Absentee by Mail Votes,Lamar Paris (I) (Dem)_Provisional Votes,Lamar Paris (I) (Dem)_Choice Total,Total,
0,Union,Blairsville,2435,222,799,384,3,1408,1408,
1,Union,Coosa,2294,266,766,270,0,1302,1302,
2,Union,Choestoe,1377,209,392,167,1,769,769,
3,Union,Jones Creek,1945,306,589,279,0,1174,1174,
4,Union,Owltown,1517,186,465,226,0,877,877,
5,Union,Ivy Log,2008,266,608,284,0,1158,1158,
6,Union,Suches,611,185,67,78,0,330,330,
7,Union,Trackrock,1110,146,315,143,0,604,604,
8,Union,Dooley,1531,245,347,198,2,792,792,
9,Union,Gumlog,2143,291,619,274,0,1184,1184,
10,Union,Pat Colwell,2230,237,756,285,1,1279,1279,
