index,County,Precinct,Registered Voters,Stan Gunter (Rep)_Election Day Votes,Stan Gunter (Rep)_Advanced Voting Votes,Stan Gunter (Rep)_Absentee by Mail Votes,Stan Gunter (Rep)_Provisional Votes,Stan Gunter (Rep)_Choice Total,Dave Cooper (Dem)_Election Day Votes,Dave Cooper (Dem)_Advanced Voting Votes,Dave Cooper (Dem)_Absentee by Mail Votes,Dave Cooper (Dem)_Provisional Votes,Dave Cooper (Dem)_Choice Total,Total,
0,Union,Blairsville,2435,245,928,321,3,1497,33,136,164,0,333,1830,
1,Union,Coosa,2294,388,941,245,0,1574,27,113,99,0,239,1813,
2,Union,Choestoe,1377,269,496,143,1,909,22,85,79,0,186,1095,
3,Union,Jones Creek,1945,390,714,236,2,1342,32,103,110,0,245,1587,
4,Union,Owltown,1517,243,551,195,0,989,21,88,113,0,222,1211,
5,Union,Ivy Log,2008,357,758,282,0,1397,26,114,102,0,242,1639,
6,Union,Suches,611,223,81,60,0,364,28,18,46,0,92,456,
7,Union,Trackrock,1110,187,389,124,0,700,22,71,75,0,168,868,
8,Union,Dooley,1531,326,465,159,1,951,37,94,113,0,244,1195,
9,Union,Gumlog,2143,376,785,259,1,1421,26,104,117,0,247,1668,
10,Union,Pat Colwell,2230,318,924,268,2,1512,31,150,139,0,320,1832,
