index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Madison,Colbert,3342,442,951,221,1,1615,137,294,208,0,639,21,26,20,0,67,2321,
1,Madison,Collins,647,185,159,43,0,387,9,22,22,0,53,8,4,0,0,12,452,
2,Madison,Comer,1441,225,361,88,0,674,81,119,134,0,334,21,13,8,0,42,1050,
3,Madison,Danielsville,3003,275,1155,277,0,1707,33,153,124,0,310,23,32,10,0,65,2082,
4,Madison,Fork,566,157,76,21,0,254,25,51,44,0,120,12,7,1,0,20,394,
5,Madison,Harrison,610,232,140,58,0,430,12,17,5,0,34,1,6,1,0,8,472,
6,Madison,Hull,4376,514,1043,352,0,1909,189,419,271,1,880,48,43,23,0,114,2903,
7,Madison,Ila,1746,293,518,153,0,964,30,45,62,0,137,11,24,9,0,44,1145,
8,Madison,Mill,1646,307,574,130,1,1012,30,60,66,0,156,16,16,4,0,36,1204,
9,Madison,Paoli,267,99,63,23,0,185,10,5,11,0,26,1,2,0,0,3,214,
10,Madison,Pittman,1949,350,545,213,0,1108,60,99,101,0,260,21,19,10,0,50,1418,
11,Madison,Poca,1127,270,303,103,0,676,21,43,40,0,104,15,8,7,0,30,810,
