index,County,Precinct,Registered Voters,Rob Leverett (Rep)_Election Day Votes,Rob Leverett (Rep)_Advanced Voting Votes,Rob Leverett (Rep)_Absentee by Mail Votes,Rob Leverett (Rep)_Provisional Votes,Rob Leverett (Rep)_Choice Total,Kerry Dornell Hamm (Dem)_Election Day Votes,Kerry Dornell Hamm (Dem)_Advanced Voting Votes,Kerry Dornell Hamm (Dem)_Absentee by Mail Votes,Kerry Dornell Hamm (Dem)_Provisional Votes,Kerry Dornell Hamm (Dem)_Choice Total,Total,
0,Madison,Colbert,3342,454,991,240,1,1686,149,296,212,0,657,2343,
1,Madison,Collins,647,193,165,44,0,402,11,25,21,0,57,459,
2,Madison,Comer,1441,238,374,96,0,708,89,118,129,0,336,1044,
3,Madison,Danielsville,3003,288,1189,297,0,1774,48,154,115,0,317,2091,
4,Madison,Fork,566,170,81,24,0,275,25,55,43,0,123,398,
5,Madison,Hull,4376,544,1070,367,0,1981,210,431,277,1,919,2900,
6,Madison,Mill,1646,40,81,21,1,143,2,8,10,0,20,163,
7,Madison,Paoli,267,103,65,23,0,191,9,6,11,0,26,217,
8,Madison,Pittman,1949,366,557,218,0,1141,65,108,103,0,276,1417,
