index,County,Precinct,Registered Voters,"Julie """"Coach"""" Harrison (I) (Rep)_Election Day Votes","Julie """"Coach"""" Harrison (I) (Rep)_Advanced Voting Votes","Julie """"Coach"""" Harrison (I) (Rep)_Absentee by Mail Votes","Julie """"Coach"""" Harrison (I) (Rep)_Provisional Votes","Julie """"Coach"""" Harrison (I) (Rep)_Choice Total",Total,
0,Madison,Colbert,3342,550,1132,335,1,2018,2018,
1,Madison,Collins,647,198,179,55,0,432,432,
2,Madison,Comer,1441,287,419,134,0,840,840,
3,Madison,Danielsville,3003,319,1244,338,0,1901,1901,
4,Madison,Fork,566,179,102,46,0,327,327,
5,Madison,Harrison,610,236,155,58,0,449,449,
6,Madison,Hull,4376,676,1296,516,1,2489,2489,
7,Madison,Ila,1746,316,556,204,0,1076,1076,
8,Madison,Mill,1646,339,616,167,1,1123,1123,
9,Madison,Paoli,267,105,66,26,0,197,197,
10,Madison,Pittman,1949,406,614,255,0,1275,1275,
11,Madison,Poca,1127,293,327,117,0,737,737,
