index,County,Precinct,Registered Voters,Todd Higdon (Rep)_Election Day Votes,Todd Higdon (Rep)_Advanced Voting Votes,Todd Higdon (Rep)_Absentee by Mail Votes,Todd Higdon (Rep)_Provisional Votes,Todd Higdon (Rep)_Choice Total,Total,
0,Madison,Colbert,3342,540,1117,318,1,1976,1976,
1,Madison,Collins,647,187,177,54,0,418,418,
2,Madison,Comer,1441,290,421,123,0,834,834,
3,Madison,Danielsville,3003,318,1217,326,0,1861,1861,
4,Madison,Fork,566,176,101,43,0,320,320,
5,Madison,Harrison,610,240,153,58,0,451,451,
6,Madison,Hull,4376,668,1266,491,0,2425,2425,
7,Madison,Ila,1746,315,547,198,0,1060,1060,
8,Madison,Mill,1646,331,612,162,1,1106,1106,
9,Madison,Paoli,267,107,67,28,0,202,202,
10,Madison,Pittman,1949,401,598,257,0,1256,1256,
11,Madison,Poca,1127,289,325,112,0,726,726,
