index,County,Precinct,Registered Voters,Katie Cross (I) (Rep)_Election Day Votes,Katie Cross (I) (Rep)_Advanced Voting Votes,Katie Cross (I) (Rep)_Absentee by Mail Votes,Katie Cross (I) (Rep)_Provisional Votes,Katie Cross (I) (Rep)_Choice Total,Total,
0,Madison,Colbert,3342,548,1154,337,1,2040,2040,
1,Madison,Collins,647,195,183,54,0,432,432,
2,Madison,Comer,1441,295,428,141,0,864,864,
3,Madison,Danielsville,3003,327,1282,337,0,1946,1946,
4,Madison,Fork,566,183,103,45,0,331,331,
5,Madison,Harrison,610,243,158,57,0,458,458,
6,Madison,Hull,4376,685,1298,509,0,2492,2492,
7,Madison,Ila,1746,323,567,207,0,1097,1097,
8,Madison,Mill,1646,342,628,169,1,1140,1140,
9,Madison,Paoli,267,105,68,28,0,201,201,
10,Madison,Pittman,1949,410,617,260,0,1287,1287,
11,Madison,Poca,1127,295,329,119,0,743,743,
