index,County,Precinct,Registered Voters,George E. Smith (I)_Election Day Votes,George E. Smith (I)_Advanced Voting Votes,George E. Smith (I)_Absentee by Mail Votes,George E. Smith (I)_Provisional Votes,George E. Smith (I)_Choice Total,Total,
0,Madison,Colbert,3342,533,1095,341,1,1970,1970,
1,Madison,Collins,647,190,177,54,0,421,421,
2,Madison,Comer,1441,295,409,128,0,832,832,
3,Madison,Danielsville,3003,307,1215,342,0,1864,1864,
4,Madison,Fork,566,175,100,46,0,321,321,
5,Madison,Harrison,610,224,146,56,0,426,426,
6,Madison,Hull,4376,648,1251,525,0,2424,2424,
7,Madison,Ila,1746,308,540,196,0,1044,1044,
8,Madison,Mill,1646,323,594,170,1,1088,1088,
9,Madison,Paoli,267,100,63,26,0,189,189,
10,Madison,Pittman,1949,394,587,256,0,1237,1237,
11,Madison,Poca,1127,281,310,119,0,710,710,
