index,County,Precinct,Registered Voters,Jason E. Buelterman (Rep)_Election Day Votes,Jason E. Buelterman (Rep)_Advanced Voting Votes,Jason E. Buelterman (Rep)_Absentee by Mail Votes,Jason E. Buelterman (Rep)_Provisional Votes,Jason E. Buelterman (Rep)_Choice Total,Chester A. Ellis (Dem)_Election Day Votes,Chester A. Ellis (Dem)_Advanced Voting Votes,Chester A. Ellis (Dem)_Absentee by Mail Votes,Chester A. Ellis (Dem)_Provisional Votes,Chester A. Ellis (Dem)_Choice Total,Total,
0,Chatham,1-01C First Presbyterian Church3187,386,546,462,0,1394,145,515,447,0,1107,2501,,
1,Chatham,1-05C JEA Building,2106,245,331,252,0,828,126,317,265,1,709,1537,
2,Chatham,1-06C Central Church of Christ2035,376,355,336,1,1068,80,188,201,1,470,1538,,
3,Chatham,1-08C Grace United Methodist Church1667,308,253,194,0,755,104,190,147,1,442,1197,,
4,Chatham,1-09C Immanuel Baptist Church 739,85,62,48,2,197,66,89,84,1,240,437,,
5,Chatham,1-10C St Thomas Episcopal Church1101,348,207,193,2,750,43,64,70,0,177,927,,
6,Chatham,1-12C Isle of Hope Baptist,1909,544,425,334,1,1304,57,125,121,0,303,1607,
7,Chatham,1-13C The Sanctuary,1396,266,256,130,1,653,71,121,155,0,347,1000,
8,Chatham,1-14C Compassion Christian Church1718,251,370,251,1,873,66,154,169,0,389,1262,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,610,689,333,4,1636,117,162,159,1,439,2075,
10,Chatham,1-17C Islands Christian Church3136,497,890,560,0,1947,76,181,300,1,558,2505,,
11,Chatham,2-02C Blackshear Community Center1714,62,99,73,1,235,194,226,186,8,614,849,,
12,Chatham,2-03C W W Law Center,1609,65,75,52,1,193,180,222,212,1,615,808,
13,Chatham,2-04C Fellowship of Love Church3178,68,65,58,0,191,420,576,565,1,1562,1753,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,68,92,52,1,213,261,447,323,3,1034,1247,,
15,Chatham,2-06C Eli Whitney Complex,759,32,40,11,0,83,114,101,89,3,307,390,
16,Chatham,2-07C Christ Community Church 2808,110,113,86,0,309,320,530,393,2,1245,1554,,
17,Chatham,2-09C Salvation Army,3342,129,145,106,0,380,352,663,568,3,1586,1966,
18,Chatham,2-11C Stillwell Towers,1900,74,77,49,0,200,282,242,242,3,769,969,
19,Chatham,2-12C Williams Court Apts,1683,71,84,37,0,192,165,304,269,4,742,934,
20,Chatham,3-01C Old Courthouse,458,49,54,59,0,162,22,58,54,1,135,297,
21,Chatham,3-02C Temple Mickve Israel,1598,142,251,161,1,555,57,236,234,1,528,1083,
22,Chatham,3-03C Savannah High School,1185,21,33,25,0,79,188,199,127,5,519,598,
