index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Chatham,1-01C First Presbyterian Church3187,329,406,286,0,1021,161,617,610,0,1388,37,33,24,0,94,2503,,
1,Chatham,1-05C JEA Building,2106,207,238,158,0,603,131,377,327,0,835,30,21,18,1,70,1508,
2,Chatham,1-06C Central Church of Christ2035,326,298,224,1,849,91,228,280,1,600,30,12,17,1,60,1509,,
3,Chatham,1-08C Grace United Methodist Church1667,289,208,155,0,652,108,218,174,1,501,8,9,7,0,24,1177,,
4,Chatham,1-09C Immanuel Baptist Church 739,76,57,40,2,175,66,92,86,1,245,4,0,5,0,9,429,,
5,Chatham,1-10C St Thomas Episcopal Church1101,316,176,158,1,651,54,86,96,0,236,18,8,8,1,35,922,,
6,Chatham,1-12C Isle of Hope Baptist,1909,503,367,269,1,1140,74,161,174,0,409,15,15,4,0,34,1583,
7,Chatham,1-13C The Sanctuary,1396,230,233,107,1,571,81,131,164,0,376,18,9,10,0,37,984,
8,Chatham,1-14C Compassion Christian Church1718,235,342,200,1,778,70,169,198,0,437,10,10,13,0,33,1248,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,577,640,261,4,1482,121,190,202,1,514,21,14,20,0,55,2051,
10,Chatham,1-17C Islands Christian Church3136,450,807,435,0,1692,80,220,407,1,708,29,37,21,0,87,2487,,
11,Chatham,2-02C Blackshear Community Center1714,47,77,45,1,170,192,230,216,8,646,15,12,5,0,32,848,,
12,Chatham,2-03C W W Law Center,1609,53,55,21,0,129,175,227,236,1,639,15,17,8,1,41,809,
13,Chatham,2-04C Fellowship of Love Church3178,57,46,31,0,134,399,561,586,1,1547,21,17,8,0,46,1727,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,52,53,24,1,130,255,459,339,3,1056,16,18,7,0,41,1227,,
15,Chatham,2-06C Eli Whitney Complex,759,26,34,7,0,67,112,97,89,3,301,5,10,4,0,19,387,
16,Chatham,2-07C Christ Community Church 2808,90,72,43,0,205,313,539,409,3,1264,26,26,13,0,65,1534,,
17,Chatham,2-09C Salvation Army,3342,95,98,50,0,243,344,683,601,3,1631,35,22,19,0,76,1950,
18,Chatham,2-11C Stillwell Towers,1900,60,62,28,0,150,271,249,252,3,775,12,6,12,0,30,955,
