index,County,Precinct,Registered Voters,Kenneth Adams (Dem)_Election Day Votes,Kenneth Adams (Dem)_Advanced Voting Votes,Kenneth Adams (Dem)_Absentee by Mail Votes,Kenneth Adams (Dem)_Provisional Votes,Kenneth Adams (Dem)_Choice Total,Total,
0,Chatham,7-01C Garden City Senior Ctr,1542,48,46,54,0,148,148,
1,Chatham,7-03C PB Edwards Gym,1290,270,117,116,0,503,503,
2,Chatham,7-04C Lake Shore Comm Ctr,3067,512,798,383,1,1694,1694,
3,Chatham,7-05C Woodlawn Baptist Church 1305,98,100,66,0,264,264,,
4,Chatham,7-11C Seventh Day Adv Church,6469,723,1564,930,11,3228,3228,
5,Chatham,7-15C Rice Creek School,2564,417,526,286,3,1232,1232,
6,Chatham,8-07C Woodville-Tompkins TI,630,128,104,85,1,318,318,
7,Chatham,8-08C Resur of Our Lord Church1704,319,258,273,1,851,851,,
8,Chatham,8-09C Moses Jackson Center,1362,265,196,206,4,671,671,
9,Chatham,8-10C Carver Heights Comm Ctr 1784,323,240,323,0,886,886,,
10,Chatham,8-11C Butler Elementary,1386,260,313,362,0,935,935,
11,Chatham,8-12C Beach High School,1310,160,207,119,0,486,486,
12,Chatham,8-13C Savannah Christian,1022,93,81,64,2,240,240,
13,Chatham,8-15C Garden City Rec Center,1622,205,277,246,1,729,729,
14,Chatham,8-16C Royal Cinemas and IMAX,3087,273,800,585,1,1659,1659,
