index,County,Precinct,Registered Voters,John T. Wilcher (I) (Rep)_Election Day Votes,John T. Wilcher (I) (Rep)_Advanced Voting Votes,John T. Wilcher (I) (Rep)_Absentee by Mail Votes,John T. Wilcher (I) (Rep)_Provisional Votes,John T. Wilcher (I) (Rep)_Choice Total,Total,
0,Chatham,1-01C First Presbyterian Church3187,454,747,620,0,1821,1821,,
1,Chatham,1-05C JEA Building,2106,316,476,387,1,1180,1180,
2,Chatham,1-06C Central Church of Christ2035,404,453,388,1,1246,1246,,
3,Chatham,1-08C Grace United Methodist Church1667,343,340,249,1,933,933,,
4,Chatham,1-09C Immanuel Baptist Church 739,126,115,105,3,349,349,,
5,Chatham,1-10C St Thomas Episcopal Church1101,363,241,209,2,815,815,,
6,Chatham,1-12C Isle of Hope Baptist,1909,564,467,370,1,1402,1402,
7,Chatham,1-13C The Sanctuary,1396,304,324,203,1,832,832,
8,Chatham,1-14C Compassion Christian Church1718,283,447,326,1,1057,1057,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,669,762,408,5,1844,1844,
10,Chatham,1-17C Islands Christian Church3136,521,952,638,1,2112,2112,,
11,Chatham,2-02C Blackshear Community Center1714,178,220,156,3,557,557,,
12,Chatham,2-03C W W Law Center,1609,166,187,143,2,498,498,
13,Chatham,2-04C Fellowship of Love Church3178,308,358,354,1,1021,1021,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,216,310,223,3,752,752,,
15,Chatham,2-06C Eli Whitney Complex,759,90,93,56,0,239,239,
16,Chatham,2-07C Christ Community Church 2808,287,374,295,1,957,957,,
17,Chatham,2-09C Salvation Army,3342,326,483,383,1,1193,1193,
18,Chatham,2-11C Stillwell Towers,1900,227,191,167,1,586,586,
19,Chatham,2-12C Williams Court Apts,1683,159,227,152,0,538,538,
20,Chatham,3-01C Old Courthouse,458,65,84,70,1,220,220,
21,Chatham,3-02C Temple Mickve Israel,1598,179,351,246,1,777,777,
22,Chatham,3-03C Savannah High School,1185,130,147,95,4,376,376,
23,Chatham,3-04C First African Baptist Church1558,209,162,137,0,508,508,,
24,Chatham,3-05C Aldersgate Youth Center 2107,272,293,217,0,782,782,,
25,Chatham,3-08C Jenkins High School,1210,162,217,156,0,535,535,
26,Chatham,3-09C Cokesbury Methodist,664,205,116,101,2,424,424,
27,Chatham,3-10C Bible Baptist Church,2640,317,354,299,2,972,972,
28,Chatham,3-11C Southside Baptist Church1481,187,204,169,3,563,563,,
29,Chatham,3-12C Thunderbolt Muni Complex1678,363,272,228,0,863,863,,
30,Chatham,3-13C New Cov 7 Day Adv Ch,2303,291,447,269,0,1007,1007,
31,Chatham,3-14C Oglethorpe Charter Academy2381,238,451,373,1,1063,1063,,
32,Chatham,3-15C Eli Whitney Complex,816,100,203,179,0,482,482,
33,Chatham,4-02C Frank Murray Comm Center2472,394,636,325,0,1355,1355,,
34,Chatham,4-04C Lighthouse Baptist Church2470,533,632,396,4,1565,1565,,
35,Chatham,4-05C St Francis Episcopal Church2244,541,571,335,1,1448,1448,,
36,Chatham,4-06C First Baptist of the Island2252,526,644,361,3,1534,1534,,
37,Chatham,4-07C Wilmington Island UMC,3370,617,886,541,4,2048,2048,
38,Chatham,4-08C Wilmington Island Pres Church2678,598,784,511,1,1894,1894,,
39,Chatham,4-10C Guard House Comm Ctr,1469,439,280,194,1,914,914,
40,Chatham,4-11C Tybee Island School Cafe1640,555,215,213,0,983,983,,
41,Chatham,4-12C St Peters Episcopal,2294,633,531,530,3,1697,1697,
42,Chatham,4-13C Skidaway Island Pres Church2469,530,590,652,2,1774,1774,,
43,Chatham,4-14C Skidaway Island Baptist 1744,393,371,439,3,1206,1206,,
44,Chatham,4-15C Skidaway Island State Park0,325,396,573,3,1297,1297,,
45,Chatham,5-01C Bartlett Middle School,1063,146,141,117,0,404,404,
46,Chatham,5-02C Senior Citizens Center,783,90,75,70,1,236,236,
47,Chatham,5-03C Butler Presbyterian Church1078,114,96,113,4,327,327,,
48,Chatham,5-05C Liberty City Comm Ctr,2574,248,346,351,1,946,946,
49,Chatham,5-06C Seed Church,2598,241,328,227,4,800,800,
50,Chatham,5-07C Station 1,1856,256,298,199,6,759,759,
51,Chatham,5-08C Savannah Primitive BC,1848,217,316,259,1,793,793,
52,Chatham,5-10C Tatumville Community Center3507,344,424,421,1,1190,1190,,
53,Chatham,5-11C Largo-Tibet Elementary,3019,274,491,387,2,1154,1154,
54,Chatham,6-01C White Bluff Presbyterian1919,270,356,219,3,848,848,,
55,Chatham,6-02C Windsor Forest Baptist,2290,479,557,382,0,1418,1418,
56,Chatham,6-03C Crusader Comm Center,2736,406,610,409,1,1426,1426,
57,Chatham,6-05C Windsor Hall,1993,268,379,267,0,914,914,
58,Chatham,6-06C The Light Church,1543,227,327,185,0,739,739,
59,Chatham,6-08C Christ Memorial Baptist Church2194,231,377,242,2,852,852,,
60,Chatham,6-09C Trinity Lutheran Church 3319,478,775,494,4,1751,1751,,
61,Chatham,6-10C Station 3,4184,547,1039,635,4,2225,2225,
62,Chatham,6-11C Bamboo Farms,5149,594,961,515,7,2077,2077,
63,Chatham,7-01C Garden City Senior Ctr,1542,269,261,191,0,721,721,
64,Chatham,7-03C PB Edwards Gym,1290,365,161,115,0,641,641,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,436,565,235,1,1237,1237,
66,Chatham,7-05C Woodlawn Baptist Church 1305,223,235,112,0,570,570,,
67,Chatham,7-06C Pooler City Hall,3555,363,874,434,1,1672,1672,
68,Chatham,7-07C Rothwell Baptist Church 3932,356,1157,597,4,2114,2114,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,559,708,276,1,1544,1544,
70,Chatham,7-09C Savannah Holy C of G,2823,369,515,349,2,1235,1235,
71,Chatham,7-10C Progressive Rec Center,4288,477,913,483,5,1878,1878,
72,Chatham,7-11C Seventh Day Adv Church,6469,770,1367,682,10,2829,2829,
