index,County,Precinct,Registered Voters,"Horace B. Waller, Jr. (I)_Election Day Votes","Horace B. Waller, Jr. (I)_Advanced Voting Votes","Horace B. Waller, Jr. (I)_Absentee by Mail Votes","Horace B. Waller, Jr. (I)_Provisional Votes","Horace B. Waller, Jr. (I)_Choice Total",Total,
0,Chatham,1-01C First Presbyterian Church3187,402,790,680,0,1872,1872,,
1,Chatham,1-05C JEA Building,2106,281,491,396,1,1169,1169,
2,Chatham,1-06C Central Church of Christ2035,330,389,385,2,1106,1106,,
3,Chatham,1-08C Grace United Methodist Church1667,283,324,246,1,854,854,,
4,Chatham,1-09C Immanuel Baptist Church 739,115,115,102,3,335,335,,
5,Chatham,1-10C St Thomas Episcopal Church1101,303,206,194,2,705,705,,
6,Chatham,1-12C Isle of Hope Baptist,1909,478,418,331,0,1227,1227,
7,Chatham,1-13C The Sanctuary,1396,250,267,212,1,730,730,
8,Chatham,1-14C Compassion Christian Church1718,240,394,286,0,920,920,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,528,615,376,4,1523,1523,
10,Chatham,1-17C Islands Christian Church3136,436,796,617,1,1850,1850,,
11,Chatham,2-02C Blackshear Community Center1714,200,237,188,3,628,628,,
12,Chatham,2-03C W W Law Center,1609,179,229,209,2,619,619,
13,Chatham,2-04C Fellowship of Love Church3178,349,465,471,1,1286,1286,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,243,393,286,2,924,924,,
15,Chatham,2-06C Eli Whitney Complex,759,110,102,77,0,289,289,
16,Chatham,2-07C Christ Community Church 2808,314,457,362,2,1135,1135,,
17,Chatham,2-09C Salvation Army,3342,361,600,487,1,1449,1449,
18,Chatham,2-11C Stillwell Towers,1900,265,218,206,1,690,690,
19,Chatham,2-12C Williams Court Apts,1683,175,289,221,3,688,688,
20,Chatham,3-01C Old Courthouse,458,58,80,66,1,205,205,
21,Chatham,3-02C Temple Mickve Israel,1598,155,353,281,1,790,790,
22,Chatham,3-03C Savannah High School,1185,158,169,106,3,436,436,
23,Chatham,3-04C First African Baptist Church1558,246,191,186,0,623,623,,
24,Chatham,3-05C Aldersgate Youth Center 2107,269,308,264,1,842,842,,
25,Chatham,3-08C Jenkins High School,1210,150,217,164,0,531,531,
26,Chatham,3-09C Cokesbury Methodist,664,159,96,93,0,348,348,
27,Chatham,3-10C Bible Baptist Church,2640,354,404,376,2,1136,1136,
28,Chatham,3-11C Southside Baptist Church1481,217,226,197,3,643,643,,
29,Chatham,3-12C Thunderbolt Muni Complex1678,308,268,234,0,810,810,,
30,Chatham,3-13C New Cov 7 Day Adv Ch,2303,272,440,279,0,991,991,
31,Chatham,3-14C Oglethorpe Charter Academy2381,249,475,418,1,1143,1143,,
32,Chatham,3-15C Eli Whitney Complex,816,97,187,184,0,468,468,
33,Chatham,4-02C Frank Murray Comm Center2472,323,556,346,0,1225,1225,,
34,Chatham,4-04C Lighthouse Baptist Church2470,429,544,369,4,1346,1346,,
35,Chatham,4-05C St Francis Episcopal Church2244,467,510,319,1,1297,1297,,
36,Chatham,4-06C First Baptist of the Island2252,454,543,346,3,1346,1346,,
37,Chatham,4-07C Wilmington Island UMC,3370,527,783,528,3,1841,1841,
38,Chatham,4-08C Wilmington Island Pres Church2678,502,676,479,0,1657,1657,,
39,Chatham,4-10C Guard House Comm Ctr,1469,372,257,190,0,819,819,
40,Chatham,4-11C Tybee Island School Cafe1640,471,197,197,1,866,866,,
41,Chatham,4-12C St Peters Episcopal,2294,505,459,489,2,1455,1455,
42,Chatham,4-13C Skidaway Island Pres Church2469,426,513,620,2,1561,1561,,
43,Chatham,4-14C Skidaway Island Baptist 1744,319,338,429,1,1087,1087,,
44,Chatham,4-15C Skidaway Island State Park0,261,331,532,1,1125,1125,,
45,Chatham,5-01C Bartlett Middle School,1063,160,156,129,0,445,445,
46,Chatham,5-02C Senior Citizens Center,783,98,96,101,1,296,296,
47,Chatham,5-03C Butler Presbyterian Church1078,150,112,143,6,411,411,,
48,Chatham,5-05C Liberty City Comm Ctr,2574,315,423,451,2,1191,1191,
49,Chatham,5-06C Seed Church,2598,258,375,273,6,912,912,
50,Chatham,5-07C Station 1,1856,259,312,234,6,811,811,
51,Chatham,5-08C Savannah Primitive BC,1848,218,340,279,2,839,839,
52,Chatham,5-10C Tatumville Community Center3507,395,517,541,1,1454,1454,,
53,Chatham,5-11C Largo-Tibet Elementary,3019,293,561,412,4,1270,1270,
54,Chatham,6-01C White Bluff Presbyterian1919,253,372,245,4,874,874,,
55,Chatham,6-02C Windsor Forest Baptist,2290,429,501,359,0,1289,1289,
56,Chatham,6-03C Crusader Comm Center,2736,382,598,431,1,1412,1412,
57,Chatham,6-05C Windsor Hall,1993,276,388,288,0,952,952,
58,Chatham,6-06C The Light Church,1543,197,281,185,0,663,663,
59,Chatham,6-08C Christ Memorial Baptist Church2194,243,403,277,2,925,925,,
60,Chatham,6-09C Trinity Lutheran Church 3319,461,741,489,4,1695,1695,,
61,Chatham,6-10C Station 3,4184,514,994,707,4,2219,2219,
62,Chatham,6-11C Bamboo Farms,5149,589,1003,605,6,2203,2203,
63,Chatham,7-01C Garden City Senior Ctr,1542,238,230,190,0,658,658,
64,Chatham,7-03C PB Edwards Gym,1290,317,126,120,0,563,563,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,430,631,301,1,1363,1363,
66,Chatham,7-05C Woodlawn Baptist Church 1305,220,223,128,0,571,571,,
67,Chatham,7-06C Pooler City Hall,3555,335,793,433,1,1562,1562,
68,Chatham,7-07C Rothwell Baptist Church 3932,332,987,582,5,1906,1906,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,471,585,266,0,1322,1322,
70,Chatham,7-09C Savannah Holy C of G,2823,332,501,367,2,1202,1202,
71,Chatham,7-10C Progressive Rec Center,4288,460,929,534,6,1929,1929,
72,Chatham,7-11C Seventh Day Adv Church,6469,701,1419,796,10,2926,2926,
73,Chatham,7-12C Pooler Church,3334,296,921,594,3,1814,1814,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,229,735,543,0,1507,1507,,
75,Chatham,7-14C Coastal Cathedral,7572,732,1713,1246,7,3698,3698,
76,Chatham,7-15C Rice Creek School,2564,408,444,237,4,1093,1093,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,278,1070,639,9,1996,1996,,
78,Chatham,8-01C Civic Center,850,57,105,83,3,248,248,
