index,County,Precinct,Registered Voters,Tammie Mosley (I) (Dem)_Election Day Votes,Tammie Mosley (I) (Dem)_Advanced Voting Votes,Tammie Mosley (I) (Dem)_Absentee by Mail Votes,Tammie Mosley (I) (Dem)_Provisional Votes,Tammie Mosley (I) (Dem)_Choice Total,Total,
0,Chatham,1-01C First Presbyterian Church3187,370,846,765,0,1981,1981,,
1,Chatham,1-05C JEA Building,2106,257,510,439,1,1207,1207,
2,Chatham,1-06C Central Church of Christ2035,281,368,390,2,1041,1041,,
3,Chatham,1-08C Grace United Methodist Church1667,240,313,253,1,807,807,,
4,Chatham,1-09C Immanuel Baptist Church 739,112,113,109,3,337,337,,
5,Chatham,1-10C St Thomas Episcopal Church1101,225,183,188,1,597,597,,
6,Chatham,1-12C Isle of Hope Baptist,1909,375,370,327,0,1072,1072,
7,Chatham,1-13C The Sanctuary,1396,213,228,219,0,660,660,
8,Chatham,1-14C Compassion Christian Church1718,212,348,305,0,865,865,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,428,477,357,3,1265,1265,
10,Chatham,1-17C Islands Christian Church3136,372,674,637,1,1684,1684,,
11,Chatham,2-02C Blackshear Community Center1714,233,287,231,9,760,760,,
12,Chatham,2-03C W W Law Center,1609,223,260,245,2,730,730,
13,Chatham,2-04C Fellowship of Love Church3178,453,609,600,1,1663,1663,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,300,505,359,3,1167,1167,,
15,Chatham,2-06C Eli Whitney Complex,759,136,130,96,3,365,365,
16,Chatham,2-07C Christ Community Church 2808,391,596,439,2,1428,1428,,
17,Chatham,2-09C Salvation Army,3342,429,754,634,4,1821,1821,
18,Chatham,2-11C Stillwell Towers,1900,331,286,260,3,880,880,
19,Chatham,2-12C Williams Court Apts,1683,211,348,290,4,853,853,
20,Chatham,3-01C Old Courthouse,458,52,89,87,1,229,229,
21,Chatham,3-02C Temple Mickve Israel,1598,146,376,327,1,850,850,
22,Chatham,3-03C Savannah High School,1185,202,212,141,5,560,560,
23,Chatham,3-04C First African Baptist Church1558,327,247,242,0,816,816,,
24,Chatham,3-05C Aldersgate Youth Center 2107,318,376,310,2,1006,1006,,
25,Chatham,3-08C Jenkins High School,1210,168,272,206,0,646,646,
26,Chatham,3-09C Cokesbury Methodist,664,132,97,105,1,335,335,
27,Chatham,3-10C Bible Baptist Church,2640,439,536,470,2,1447,1447,
28,Chatham,3-11C Southside Baptist Church1481,267,290,216,2,775,775,,
29,Chatham,3-12C Thunderbolt Muni Complex1678,308,270,266,0,844,844,,
30,Chatham,3-13C New Cov 7 Day Adv Ch,2303,290,450,296,1,1037,1037,
31,Chatham,3-14C Oglethorpe Charter Academy2381,296,550,492,1,1339,1339,,
32,Chatham,3-15C Eli Whitney Complex,816,95,188,199,0,482,482,
33,Chatham,4-02C Frank Murray Comm Center2472,301,523,375,0,1199,1199,,
34,Chatham,4-04C Lighthouse Baptist Church2470,342,476,408,3,1229,1229,,
35,Chatham,4-05C St Francis Episcopal Church2244,376,443,341,1,1161,1161,,
36,Chatham,4-06C First Baptist of the Island2252,369,478,350,2,1199,1199,,
37,Chatham,4-07C Wilmington Island UMC,3370,431,676,569,3,1679,1679,
38,Chatham,4-08C Wilmington Island Pres Church2678,401,556,472,0,1429,1429,,
39,Chatham,4-10C Guard House Comm Ctr,1469,300,234,218,2,754,754,
40,Chatham,4-11C Tybee Island School Cafe1640,384,189,223,0,796,796,,
41,Chatham,4-12C St Peters Episcopal,2294,378,377,473,0,1228,1228,
42,Chatham,4-13C Skidaway Island Pres Church2469,322,410,567,1,1300,1300,,
43,Chatham,4-14C Skidaway Island Baptist 1744,218,295,448,1,962,962,,
44,Chatham,4-15C Skidaway Island State Park0,188,284,512,0,984,984,,
45,Chatham,5-01C Bartlett Middle School,1063,177,203,148,0,528,528,
46,Chatham,5-02C Senior Citizens Center,783,122,118,122,1,363,363,
47,Chatham,5-03C Butler Presbyterian Church1078,192,164,186,5,547,547,,
48,Chatham,5-05C Liberty City Comm Ctr,2574,440,559,582,3,1584,1584,
49,Chatham,5-06C Seed Church,2598,304,465,354,8,1131,1131,
50,Chatham,5-07C Station 1,1856,276,368,269,6,919,919,
51,Chatham,5-08C Savannah Primitive BC,1848,239,391,319,2,951,951,
52,Chatham,5-10C Tatumville Community Center3507,544,681,683,3,1911,1911,,
53,Chatham,5-11C Largo-Tibet Elementary,3019,362,661,441,8,1472,1472,
54,Chatham,6-01C White Bluff Presbyterian1919,267,398,269,5,939,939,,
55,Chatham,6-02C Windsor Forest Baptist,2290,376,479,389,1,1245,1245,
56,Chatham,6-03C Crusader Comm Center,2736,386,633,493,1,1513,1513,
57,Chatham,6-05C Windsor Hall,1993,276,410,299,0,985,985,
58,Chatham,6-06C The Light Church,1543,200,256,188,0,644,644,
59,Chatham,6-08C Christ Memorial Baptist Church2194,275,453,308,2,1038,1038,,
60,Chatham,6-09C Trinity Lutheran Church 3319,440,720,508,7,1675,1675,,
61,Chatham,6-10C Station 3,4184,497,996,781,6,2280,2280,
62,Chatham,6-11C Bamboo Farms,5149,640,1210,745,6,2601,2601,
63,Chatham,7-01C Garden City Senior Ctr,1542,217,224,194,0,635,635,
64,Chatham,7-03C PB Edwards Gym,1290,282,119,119,0,520,520,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,520,802,382,1,1705,1705,
66,Chatham,7-05C Woodlawn Baptist Church 1305,219,238,133,0,590,590,,
67,Chatham,7-06C Pooler City Hall,3555,333,786,527,1,1647,1647,
