index,County,Precinct,Registered Voters,Bobby Lockett (I) (Dem)_Election Day Votes,Bobby Lockett (I) (Dem)_Advanced Voting Votes,Bobby Lockett (I) (Dem)_Absentee by Mail Votes,Bobby Lockett (I) (Dem)_Provisional Votes,Bobby Lockett (I) (Dem)_Choice Total,Total,
0,Chatham,1-17C Islands Christian Church3136,101,163,145,0,409,409,,
1,Chatham,2-06C Eli Whitney Complex,759,133,127,93,1,354,354,
2,Chatham,3-01C Old Courthouse,458,50,84,81,1,216,216,
3,Chatham,3-02C Temple Mickve Israel,1598,72,233,218,0,523,523,
4,Chatham,3-03C Savannah High School,1185,157,154,89,4,404,404,
5,Chatham,3-04C First African Baptist Church1558,327,243,240,0,810,810,,
6,Chatham,3-05C Aldersgate Youth Center 2107,314,374,306,1,995,995,,
7,Chatham,3-10C Bible Baptist Church,2640,269,340,285,1,895,895,
8,Chatham,3-11C Southside Baptist Church1481,264,293,222,2,781,781,,
9,Chatham,3-12C Thunderbolt Muni Complex1678,314,270,256,0,840,840,,
10,Chatham,3-13C New Cov 7 Day Adv Ch,2303,288,447,294,1,1030,1030,
11,Chatham,3-14C Oglethorpe Charter Academy2381,285,539,462,0,1286,1286,,
12,Chatham,3-15C Eli Whitney Complex,816,95,194,196,0,485,485,
13,Chatham,4-02C Frank Murray Comm Center2472,69,153,109,0,331,331,,
14,Chatham,7-01C Garden City Senior Ctr,1542,173,174,142,0,489,489,
15,Chatham,8-01C Civic Center,850,73,114,94,3,284,284,
16,Chatham,8-05C W Broad St YMCA,1543,220,177,129,0,526,526,
17,Chatham,8-06C Tompkins Rec Center,1055,33,40,37,1,111,111,
18,Chatham,8-10C Carver Heights Comm Ctr 1784,27,20,27,0,74,74,,
19,Chatham,8-15C Garden City Rec Center,1622,8,30,6,0,44,44,
