index,County,Precinct,Registered Voters,Dean Kicklighter (I) (Rep)_Election Day Votes,Dean Kicklighter (I) (Rep)_Advanced Voting Votes,Dean Kicklighter (I) (Rep)_Absentee by Mail Votes,Dean Kicklighter (I) (Rep)_Provisional Votes,Dean Kicklighter (I) (Rep)_Choice Total,Orlando Scott (Dem)_Election Day Votes,Orlando Scott (Dem)_Advanced Voting Votes,Orlando Scott (Dem)_Absentee by Mail Votes,Orlando Scott (Dem)_Provisional Votes,Orlando Scott (Dem)_Choice Total,Total,
0,Chatham,7-05C Woodlawn Baptist Church 1305,124,126,38,0,288,46,78,41,0,165,453,,
1,Chatham,7-06C Pooler City Hall,3555,256,618,250,0,1124,178,497,399,1,1075,2199,
2,Chatham,7-07C Rothwell Baptist Church 3932,281,966,423,3,1673,126,417,369,2,914,2587,,
3,Chatham,7-08C Bloomingdale Comm Ctr,2733,523,656,228,0,1407,78,119,121,1,319,1726,
4,Chatham,7-12C Pooler Church,3334,196,576,258,4,1034,160,660,502,0,1322,2356,
5,Chatham,7-13C Southside Fire Trng Ctr 2513,237,736,422,1,1396,63,255,347,0,665,2061,,
6,Chatham,7-14C Coastal Cathedral,7572,421,834,525,1,1781,553,1477,1132,5,3167,4948,
7,Chatham,7-16C Pooler Recreation Center Gymnasium3701,232,869,428,7,1536,118,550,432,6,1106,2642,,
