index,County,Precinct,Registered Voters,Mickey Stephens (I) (Dem)_Election Day Votes,Mickey Stephens (I) (Dem)_Advanced Voting Votes,Mickey Stephens (I) (Dem)_Absentee by Mail Votes,Mickey Stephens (I) (Dem)_Provisional Votes,Mickey Stephens (I) (Dem)_Choice Total,Total,
0,Chatham,1-14C Compassion Christian Church1718,207,346,299,0,852,852,,
1,Chatham,1-16C Ferguson Ave Baptist,2905,427,483,353,3,1266,1266,
2,Chatham,2-04C Fellowship of Love Church3178,454,609,598,1,1662,1662,,
3,Chatham,2-06C Eli Whitney Complex,759,136,129,98,1,364,364,
4,Chatham,2-07C Christ Community Church 2808,391,596,435,2,1424,1424,,
5,Chatham,2-09C Salvation Army,3342,419,742,638,1,1800,1800,
6,Chatham,2-11C Stillwell Towers,1900,331,282,261,1,875,875,
7,Chatham,3-01C Old Courthouse,458,51,89,84,1,225,225,
8,Chatham,3-03C Savannah High School,1185,199,213,137,3,552,552,
9,Chatham,3-04C First African Baptist Church1558,319,246,237,0,802,802,,
10,Chatham,3-05C Aldersgate Youth Center 2107,315,374,304,1,994,994,,
11,Chatham,3-08C Jenkins High School,1210,167,266,202,0,635,635,
12,Chatham,3-09C Cokesbury Methodist,664,135,98,101,0,334,334,
13,Chatham,3-10C Bible Baptist Church,2640,449,539,467,1,1456,1456,
14,Chatham,3-11C Southside Baptist Church1481,264,289,224,2,779,779,,
15,Chatham,3-12C Thunderbolt Muni Complex1678,311,269,266,1,847,847,,
16,Chatham,3-13C New Cov 7 Day Adv Ch,2303,286,451,296,2,1035,1035,
17,Chatham,3-14C Oglethorpe Charter Academy2381,292,540,487,0,1319,1319,,
18,Chatham,3-15C Eli Whitney Complex,816,94,186,195,0,475,475,
19,Chatham,4-04C Lighthouse Baptist Church2470,0,0,0,0,0,0,,
20,Chatham,6-02C Windsor Forest Baptist,2290,94,135,88,0,317,317,
21,Chatham,6-05C Windsor Hall,1993,280,403,299,0,982,982,
22,Chatham,6-09C Trinity Lutheran Church 3319,277,411,272,0,960,960,,
