index,County,Precinct,Registered Voters,"Lester G. Jackson, III (I) (Dem)_Election Day Votes","Lester G. Jackson, III (I) (Dem)_Advanced Voting Votes","Lester G. Jackson, III (I) (Dem)_Absentee by Mail Votes","Lester G. Jackson, III (I) (Dem)_Provisional Votes","Lester G. Jackson, III (I) (Dem)_Choice Total",Total,
0,Chatham,1-01C First Presbyterian Church3187,356,844,760,0,1960,1960,,
1,Chatham,1-05C JEA Building,2106,259,501,438,1,1199,1199,
2,Chatham,1-06C Central Church of Christ2035,274,368,396,3,1041,1041,,
3,Chatham,1-08C Grace United Methodist Church1667,245,315,260,1,821,821,,
4,Chatham,1-09C Immanuel Baptist Church 739,102,117,107,3,329,329,,
5,Chatham,2-02C Blackshear Community Center1714,231,282,235,8,756,756,,
6,Chatham,2-03C W W Law Center,1609,223,264,247,2,736,736,
7,Chatham,2-04C Fellowship of Love Church3178,453,601,595,1,1650,1650,,
8,Chatham,2-05C Holy Spirit Lutheran Church2079,297,491,361,3,1152,1152,,
9,Chatham,2-06C Eli Whitney Complex,759,126,128,97,1,352,352,
10,Chatham,2-07C Christ Community Church 2808,387,585,445,3,1420,1420,,
11,Chatham,2-09C Salvation Army,3342,411,740,635,1,1787,1787,
12,Chatham,2-11C Stillwell Towers,1900,318,276,271,3,868,868,
13,Chatham,2-12C Williams Court Apts,1683,203,346,295,4,848,848,
14,Chatham,3-01C Old Courthouse,458,51,87,84,1,223,223,
15,Chatham,3-02C Temple Mickve Israel,1598,143,376,331,1,851,851,
16,Chatham,3-03C Savannah High School,1185,201,204,141,4,550,550,
17,Chatham,3-04C First African Baptist Church1558,322,240,239,0,801,801,,
18,Chatham,3-05C Aldersgate Youth Center 2107,309,368,311,2,990,990,,
19,Chatham,3-08C Jenkins High School,1210,165,269,202,0,636,636,
20,Chatham,3-09C Cokesbury Methodist,664,137,101,102,0,340,340,
21,Chatham,3-10C Bible Baptist Church,2640,427,530,466,2,1425,1425,
22,Chatham,3-11C Southside Baptist Church1481,262,284,220,2,768,768,,
23,Chatham,3-12C Thunderbolt Muni Complex1678,78,79,101,0,258,258,,
24,Chatham,3-13C New Cov 7 Day Adv Ch,2303,276,450,291,2,1019,1019,
25,Chatham,3-14C Oglethorpe Charter Academy2381,291,545,490,0,1326,1326,,
26,Chatham,3-15C Eli Whitney Complex,816,97,190,199,0,486,486,
27,Chatham,5-01C Bartlett Middle School,1063,175,199,149,0,523,523,
28,Chatham,5-02C Senior Citizens Center,783,120,120,122,1,363,363,
29,Chatham,5-03C Butler Presbyterian Church1078,190,160,183,4,537,537,,
30,Chatham,5-05C Liberty City Comm Ctr,2574,426,554,571,3,1554,1554,
31,Chatham,5-06C Seed Church,2598,298,453,358,6,1115,1115,
32,Chatham,5-07C Station 1,1856,272,370,268,6,916,916,
33,Chatham,5-08C Savannah Primitive BC,1848,227,387,318,3,935,935,
34,Chatham,5-10C Tatumville Community Center3507,542,673,675,3,1893,1893,,
35,Chatham,5-11C Largo-Tibet Elementary,3019,358,659,445,6,1468,1468,
36,Chatham,6-01C White Bluff Presbyterian1919,256,404,269,3,932,932,,
37,Chatham,6-03C Crusader Comm Center,2736,383,624,497,1,1505,1505,
38,Chatham,6-05C Windsor Hall,1993,276,401,295,0,972,972,
39,Chatham,6-06C The Light Church,1543,195,259,189,0,643,643,
40,Chatham,6-08C Christ Memorial Baptist Church2194,279,453,306,2,1040,1040,,
41,Chatham,6-09C Trinity Lutheran Church 3319,429,709,499,6,1643,1643,,
42,Chatham,7-01C Garden City Senior Ctr,1542,210,216,194,0,620,620,
43,Chatham,7-03C PB Edwards Gym,1290,268,119,118,0,505,505,
44,Chatham,7-04C Lake Shore Comm Ctr,3067,514,796,386,1,1697,1697,
45,Chatham,7-05C Woodlawn Baptist Church 1305,217,229,133,0,579,579,,
46,Chatham,7-10C Progressive Rec Center,4288,479,975,598,6,2058,2058,
47,Chatham,7-11C Seventh Day Adv Church,6469,712,1542,941,12,3207,3207,
48,Chatham,7-14C Coastal Cathedral,7572,756,1849,1376,8,3989,3989,
49,Chatham,7-15C Rice Creek School,2564,408,525,287,2,1222,1222,
50,Chatham,8-01C Civic Center,850,69,114,97,3,283,283,
51,Chatham,8-02C Hellenic Center,1709,225,381,246,1,853,853,
52,Chatham,8-03C Silk Hope Baptist Church831,129,76,80,0,285,285,,
53,Chatham,8-05C W Broad St YMCA,1543,270,210,164,1,645,645,
54,Chatham,8-06C Tompkins Rec Center,1055,191,151,159,2,503,503,
55,Chatham,8-07C Woodville-Tompkins TI,630,129,99,86,1,315,315,
56,Chatham,8-08C Resur of Our Lord Church1704,310,255,272,3,840,840,,
57,Chatham,8-09C Moses Jackson Center,1362,260,193,201,7,661,661,
58,Chatham,8-10C Carver Heights Comm Ctr 1784,341,263,347,0,951,951,,
59,Chatham,8-11C Butler Elementary,1386,252,309,355,0,916,916,
60,Chatham,8-12C Beach High School,1310,191,235,153,0,579,579,
61,Chatham,8-13C Savannah Christian,1022,90,86,61,2,239,239,
62,Chatham,8-15C Garden City Rec Center,1622,209,296,250,1,756,756,
