index,County,Precinct,Registered Voters,Sonya Jackson (Dem)_Election Day Votes,Sonya Jackson (Dem)_Advanced Voting Votes,Sonya Jackson (Dem)_Absentee by Mail Votes,Sonya Jackson (Dem)_Provisional Votes,Sonya Jackson (Dem)_Choice Total,Total,
50,Chatham,5-07C Station 1,1856,277,369,266,6,918,918,
51,Chatham,5-08C Savannah Primitive BC,1848,241,388,318,2,949,949,
52,Chatham,5-10C Tatumville Community Center3507,549,685,679,4,1917,1917,,
53,Chatham,5-11C Largo-Tibet Elementary,3019,362,664,442,7,1475,1475,
54,Chatham,6-01C White Bluff Presbyterian1919,264,397,274,4,939,939,,
55,Chatham,6-02C Windsor Forest Baptist,2290,360,467,383,1,1211,1211,
56,Chatham,6-03C Crusader Comm Center,2736,386,629,491,1,1507,1507,
57,Chatham,6-05C Windsor Hall,1993,274,401,295,0,970,970,
58,Chatham,6-06C The Light Church,1543,201,257,181,0,639,639,
59,Chatham,6-08C Christ Memorial Baptist Church2194,284,454,301,2,1041,1041,,
60,Chatham,6-09C Trinity Lutheran Church 3319,434,716,494,7,1651,1651,,
61,Chatham,6-10C Station 3,4184,493,1002,764,5,2264,2264,
62,Chatham,6-11C Bamboo Farms,5149,646,1204,741,6,2597,2597,
63,Chatham,7-01C Garden City Senior Ctr,1542,216,219,194,0,629,629,
64,Chatham,7-03C PB Edwards Gym,1290,269,118,116,0,503,503,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,519,803,384,1,1707,1707,
66,Chatham,7-05C Woodlawn Baptist Church 1305,217,238,128,0,583,583,,
67,Chatham,7-06C Pooler City Hall,3555,330,793,521,1,1645,1645,
68,Chatham,7-07C Rothwell Baptist Church 3932,296,881,585,6,1768,1768,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,368,440,248,1,1057,1057,
70,Chatham,7-09C Savannah Holy C of G,2823,345,537,439,3,1324,1324,
71,Chatham,7-10C Progressive Rec Center,4288,484,995,600,6,2085,2085,
72,Chatham,7-11C Seventh Day Adv Church,6469,721,1557,932,10,3220,3220,
73,Chatham,7-12C Pooler Church,3334,309,994,673,3,1979,1979,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,194,634,553,0,1381,1381,,
75,Chatham,7-14C Coastal Cathedral,7572,773,1862,1393,10,4038,4038,
76,Chatham,7-15C Rice Creek School,2564,416,537,288,3,1244,1244,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,269,987,651,7,1914,1914,,
