index,County,Precinct,Registered Voters,Charles M. Pugh (Rep)_Election Day Votes,Charles M. Pugh (Rep)_Advanced Voting Votes,Charles M. Pugh (Rep)_Absentee by Mail Votes,Charles M. Pugh (Rep)_Provisional Votes,Charles M. Pugh (Rep)_Choice Total,David Campbell (Dem)_Election Day Votes,David Campbell (Dem)_Advanced Voting Votes,David Campbell (Dem)_Absentee by Mail Votes,David Campbell (Dem)_Provisional Votes,David Campbell (Dem)_Choice Total,Total,
0,Chatham,1-01C First Presbyterian Church3187,367,489,439,0,1295,161,566,464,0,1191,2486,,
1,Chatham,1-05C JEA Building,2106,229,313,233,2,777,140,328,283,0,751,1528,
2,Chatham,1-06C Central Church of Christ2035,360,342,317,2,1021,95,206,204,0,505,1526,,
3,Chatham,1-08C Grace United Methodist Church1667,302,233,173,0,708,108,210,160,1,479,1187,,
4,Chatham,1-09C Immanuel Baptist Church 739,86,59,40,1,186,66,92,90,2,250,436,,
5,Chatham,1-10C St Thomas Episcopal Church1101,342,190,184,2,718,48,81,74,0,203,921,,
6,Chatham,1-12C Isle of Hope Baptist,1909,533,411,319,1,1264,63,132,136,0,331,1595,
7,Chatham,1-13C The Sanctuary,1396,251,242,117,1,611,84,135,161,0,380,991,
8,Chatham,1-14C Compassion Christian Church1718,242,365,225,1,833,73,162,181,0,416,1249,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,600,676,318,4,1598,126,177,171,1,475,2073,
10,Chatham,1-17C Islands Christian Church3136,474,860,495,0,1829,88,200,354,1,643,2472,,
11,Chatham,2-02C Blackshear Community Center1714,53,93,64,1,211,206,235,197,8,646,857,,
12,Chatham,2-03C W W Law Center,1609,57,71,34,1,163,187,225,226,1,639,802,
13,Chatham,2-04C Fellowship of Love Church3178,71,66,52,0,189,415,582,573,1,1571,1760,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,56,80,47,1,184,273,462,326,3,1064,1248,,
15,Chatham,2-06C Eli Whitney Complex,759,31,37,8,0,76,116,104,87,3,310,386,
16,Chatham,2-07C Christ Community Church 2808,109,104,75,0,288,315,540,399,2,1256,1544,,
17,Chatham,2-09C Salvation Army,3342,114,136,90,0,340,369,676,583,3,1631,1971,
18,Chatham,2-11C Stillwell Towers,1900,61,76,42,0,179,296,244,247,3,790,969,
19,Chatham,2-12C Williams Court Apts,1683,63,73,34,0,170,173,314,271,4,762,932,
20,Chatham,3-01C Old Courthouse,458,47,54,57,0,158,24,57,52,1,134,292,
21,Chatham,3-02C Temple Mickve Israel,1598,142,236,157,1,536,60,245,229,1,535,1071,
