index,County,Precinct,Registered Voters,Bill Hitchens (I) (Rep)_Election Day Votes,Bill Hitchens (I) (Rep)_Advanced Voting Votes,Bill Hitchens (I) (Rep)_Absentee by Mail Votes,Bill Hitchens (I) (Rep)_Provisional Votes,Bill Hitchens (I) (Rep)_Choice Total,Total,
0,Chatham,7-03C PB Edwards Gym,1290,355,160,106,0,621,621,
1,Chatham,7-04C Lake Shore Comm Ctr,3067,420,532,223,1,1176,1176,
2,Chatham,7-06C Pooler City Hall,3555,359,843,394,1,1597,1597,
3,Chatham,7-07C Rothwell Baptist Church 3932,354,1139,570,3,2066,2066,,
4,Chatham,7-11C Seventh Day Adv Church,6469,766,1338,650,9,2763,2763,
5,Chatham,7-13C Southside Fire Trng Ctr 2513,265,819,519,1,1604,1604,,
6,Chatham,7-15C Rice Creek School,2564,415,419,189,4,1027,1027,
7,Chatham,8-16C Royal Cinemas and IMAX,3087,299,843,472,2,1616,1616,
