index,County,Precinct,Registered Voters,Ron Stephens (I) (Rep)_Election Day Votes,Ron Stephens (I) (Rep)_Advanced Voting Votes,Ron Stephens (I) (Rep)_Absentee by Mail Votes,Ron Stephens (I) (Rep)_Provisional Votes,Ron Stephens (I) (Rep)_Choice Total,Marcus Thompson (Dem)_Election Day Votes,Marcus Thompson (Dem)_Advanced Voting Votes,Marcus Thompson (Dem)_Absentee by Mail Votes,Marcus Thompson (Dem)_Provisional Votes,Marcus Thompson (Dem)_Choice Total,Total,
0,Chatham,6-10C Station 3,4184,402,707,342,1,1452,255,636,586,4,1481,2933,
1,Chatham,6-11C Bamboo Farms,5149,340,469,192,4,1005,434,970,658,4,2066,3071,
2,Chatham,7-08C Bloomingdale Comm Ctr,2733,529,660,223,0,1412,79,121,129,1,330,1742,
3,Chatham,7-09C Savannah Holy C of G,2823,237,329,167,1,734,218,366,355,0,939,1673,
4,Chatham,7-10C Progressive Rec Center,4288,277,451,183,1,912,333,770,523,3,1629,2541,
5,Chatham,7-12C Pooler Church,3334,185,567,241,4,997,172,678,518,0,1368,2365,
6,Chatham,7-16C Pooler Recreation Center Gymnasium3701,231,858,421,7,1517,120,563,443,6,1132,2649,,
