index,County,Precinct,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
0,Chatham,1-01C First Presbyterian Church3187,355,425,314,0,1094,175,635,613,0,1423,2517,,
1,Chatham,1-05C JEA Building,2106,233,253,172,2,660,138,389,347,0,874,1534,
2,Chatham,1-06C Central Church of Christ2035,355,319,269,1,944,101,230,273,2,606,1550,,
3,Chatham,1-08C Grace United Methodist Church1667,303,221,169,0,693,110,223,172,1,506,1199,,
4,Chatham,1-09C Immanuel Baptist Church 739,78,59,46,2,185,68,93,88,1,250,435,,
5,Chatham,1-10C St Thomas Episcopal Church1101,341,184,160,2,687,52,86,104,0,242,929,,
6,Chatham,1-12C Isle of Hope Baptist,1909,533,395,286,1,1215,70,154,172,0,396,1611,
7,Chatham,1-13C The Sanctuary,1396,246,249,113,1,609,94,129,171,0,394,1003,
8,Chatham,1-14C Compassion Christian Church1718,246,361,219,1,827,70,162,204,0,436,1263,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,601,666,300,4,1571,123,189,196,1,509,2080,
10,Chatham,1-17C Islands Christian Church3136,478,834,459,0,1771,92,231,413,1,737,2508,,
11,Chatham,2-02C Blackshear Community Center1714,49,88,53,1,191,208,241,221,8,678,869,,
12,Chatham,2-03C W W Law Center,1609,62,61,31,1,155,185,239,237,1,662,817,
13,Chatham,2-04C Fellowship of Love Church3178,60,49,41,0,150,420,588,594,1,1603,1753,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,76,64,31,1,172,251,473,347,3,1074,1246,,
15,Chatham,2-06C Eli Whitney Complex,759,29,35,6,0,70,116,109,98,2,325,395,
16,Chatham,2-07C Christ Community Church 2808,118,88,56,0,262,326,557,419,2,1304,1566,,
17,Chatham,2-09C Salvation Army,3342,118,108,61,0,287,362,699,619,4,1684,1971,
18,Chatham,2-11C Stillwell Towers,1900,64,69,39,0,172,290,254,266,3,813,985,
19,Chatham,2-12C Williams Court Apts,1683,65,55,30,0,150,173,337,282,4,796,946,
20,Chatham,3-01C Old Courthouse,458,50,43,51,0,144,20,68,64,1,153,297,
21,Chatham,3-02C Temple Mickve Israel,1598,134,205,129,1,469,74,279,275,2,630,1099,
22,Chatham,3-03C Savannah High School,1185,20,28,20,0,68,187,202,131,5,525,593,
23,Chatham,3-04C First African Baptist Church1558,35,21,21,0,77,300,234,235,0,769,846,,
24,Chatham,3-05C Aldersgate Youth Center 2107,116,124,68,0,308,264,328,276,2,870,1178,,
25,Chatham,3-08C Jenkins High School,1210,88,95,52,0,235,123,236,188,0,547,782,
26,Chatham,3-09C Cokesbury Methodist,664,168,76,54,1,299,64,74,83,1,222,521,
