County,Demetrius Douglas (I) (Dem)_Election Day Votes,Demetrius Douglas (I) (Dem)_Absentee by Mail Votes,Demetrius Douglas (I) (Dem)_Advanced Voting Votes,Demetrius Douglas (I) (Dem)_Provisional Votes,Demetrius Douglas (I) (Dem)_TOTAL VOTES,Total,
Clayton,2805,5144,10509,37,18495,18495,
Henry,711,1502,3773,1,5987,5987,
