County,Dale Washburn (I) (Rep)_Election Day Votes,Dale Washburn (I) (Rep)_Absentee by Mail Votes,Dale Washburn (I) (Rep)_Advanced Voting Votes,Dale Washburn (I) (Rep)_Provisional Votes,Dale Washburn (I) (Rep)_TOTAL VOTES,Total,
Bibb,4422,4042,8958,23,17445,17445,
Monroe,1995,1015,5379,5,8394,8394,
