County,Marcus A. Wiedower (I) (Rep)_Election Day Votes,Marcus A. Wiedower (I) (Rep)_Absentee by Mail Votes,Marcus A. Wiedower (I) (Rep)_Advanced Voting Votes,Marcus A. Wiedower (I) (Rep)_Provisional Votes,Marcus A. Wiedower (I) (Rep)_TOTAL VOTES,Jonathan Wallace (Dem)_Election Day Votes,Jonathan Wallace (Dem)_Absentee by Mail Votes,Jonathan Wallace (Dem)_Advanced Voting Votes,Jonathan Wallace (Dem)_Provisional Votes,Jonathan Wallace (Dem)_TOTAL VOTES,Total,
Clarke,1056,1206,2010,3,4275,1240,3591,4025,2,8858,13133,
Oconee,2126,1992,8414,1,12533,423,1734,2803,1,4961,17494,
