County,Dave Belton (I) (Rep)_Election Day Votes,Dave Belton (I) (Rep)_Absentee by Mail Votes,Dave Belton (I) (Rep)_Advanced Voting Votes,Dave Belton (I) (Rep)_Provisional Votes,Dave Belton (I) (Rep)_TOTAL VOTES,Total,
Morgan,2183,1366,6280,3,9832,9832,
Newton,7727,3492,5035,6,16260,16260,
