County,David Jenkins (Rep)_Election Day Votes,David Jenkins (Rep)_Absentee by Mail Votes,David Jenkins (Rep)_Advanced Voting Votes,David Jenkins (Rep)_Provisional Votes,David Jenkins (Rep)_TOTAL VOTES,"Bob Trammell, Jr. (I) (Dem)_Election Day Votes","Bob Trammell, Jr. (I) (Dem)_Absentee by Mail Votes","Bob Trammell, Jr. (I) (Dem)_Advanced Voting Votes","Bob Trammell, Jr. (I) (Dem)_Provisional Votes","Bob Trammell, Jr. (I) (Dem)_TOTAL VOTES",Total,
Coweta,1766,667,1386,1,3820,898,939,930,2,2769,6589,
Meriwether,799,336,1290,1,2426,433,602,606,3,1644,4070,
Troup,1099,866,3247,1,5213,1554,1803,3023,6,6386,11599,
