County,Pam Stephenson (I) (Dem)_Election Day Votes,Pam Stephenson (I) (Dem)_Absentee by Mail Votes,Pam Stephenson (I) (Dem)_Advanced Voting Votes,Pam Stephenson (I) (Dem)_Provisional Votes,Pam Stephenson (I) (Dem)_TOTAL VOTES,Total,
DeKalb,2001,5877,8949,31,16858,16858,
Henry,843,1854,5167,6,7870,7870,
Rockdale,371,664,1218,0,2253,2253,
