County,Trey Kelley (I) (Rep)_Election Day Votes,Trey Kelley (I) (Rep)_Absentee by Mail Votes,Trey Kelley (I) (Rep)_Advanced Voting Votes,Trey Kelley (I) (Rep)_Provisional Votes,Trey Kelley (I) (Rep)_TOTAL VOTES,Lyndsay Arrendale (Dem)_Election Day Votes,Lyndsay Arrendale (Dem)_Absentee by Mail Votes,Lyndsay Arrendale (Dem)_Advanced Voting Votes,Lyndsay Arrendale (Dem)_Provisional Votes,Lyndsay Arrendale (Dem)_TOTAL VOTES,Total,
Bartow,1307,443,1700,0,3450,183,232,292,0,707,4157,
Haralson,965,285,911,0,2161,64,72,82,0,218,2379,
Polk,2547,1604,8330,14,12495,793,1081,2269,6,4149,16644,
